,要件,最終判断
0,申請等に対する情報登録0報告高齢者報告書情報0件、年障害者報告書情報0件、年雇用指導記録登録、行政措置情報、アドバイザー訪問情報、セミナー情報の登録、更新0件、,その他
1,申請等に対する情報登録外国人外国人雇用情報、離職情報の登録、更新0件、年,その他
2,雇用対策業務0報告職員0人※平成0年0月時点の現行ハローワークシステムにおける権限付与者更新権限:0人、参照権限:0人外国人職員0人※平成0年0月時点の現行ハローワークシステムにおける権限付与者更新権限:0人、参照権限:0人,その他
3,ハローワークインターネットサービス通年0日、0時間∙メンテナンス時間を除く,信頼性
4,電子申請通年0日、0時間∙メンテナンス時間を除く,信頼性
5,雇用対策サブシステム雇用管理改善指導機能群外国人雇用状況届出機能0報告機能,その他
6,共通基盤サブシステム公開機能群インターネット公開機能,その他
7,本情報システムでは、本調達に係る作業と並行して本調達が改修対象とする機能への改修が別調達により実施される予定であり、ドキュメントやプログラムの変更が随時発生している。,その他
8,機能に関する事項要件定義書別紙0「機能一覧」のとおりとする。,機能適合性
9,なお、要件定義書別紙0「機能一覧」の事項は平成0年0月現在の想定である。,その他
10,より具体化した事項については基本設計で決定することとする。,その他
11,画面に関する事項画面一覧、画面概要、画面入出力条件、画面設計要件要件定義書別紙0「画面一覧」のとおりとする。,その他
12,ただし、要件定義書別紙0「画面一覧」に記載されている事項は平成0年0月現在の想定であり、最終的には設計、開発工程において職業安定局と協議の上、受託者が設計するものとする。,その他
13,情報、データ一覧要件定義書別紙0「情報、データ一覧」のとおりとする。,その他
14,情報、データ処理要件要件定義書別紙0「情報、データ一覧」のとおりとする。,その他
15,データ定義表要件定義書別紙0「情報、データ一覧」のとおりとする。,その他
16,要件定義書別紙0「外部インタフェースに関する事項」のとおりとする。,その他
17,本情報システムの利用者の種類、特性本情報システムにおける主な利用者の種類について、表0-0「利用者の種類」に示す。,その他
18,本調達に関係する機能のユーザビリティ要件は、本情報システムのユーザビリティ要件に準じること。,その他
19,なお、本情報システムのユーザビリティ要件については、調達仕様書別紙0「閲覧資料一覧」の開発標準等を参照すること。,その他
20,本調達に関係する機能のアクセシビリティ要件は、本情報システムのアクセシビリティ要件に準じること。,その他
21,なお、本情報システムのアクセシビリティ要件については、調達仕様書別紙0「閲覧資料一覧」の開発標準等を参照すること。,その他
22,雇用管理改善指導機能群、公開機能群、雇用保険業務処理機能群、雇用保険フロント機能群及び電子申請審査機能群の稼働環境ハードウェア構成、ソフトウェア構成、ネットワーク構成等に係る方式設計は、既存の方式設計書を参照すること。,その他
23,受託者は、この方式設計を前提として、本調達に関係する機能を開発すること。,その他
24,方式設計の内容については、調達仕様書別紙0「閲覧資料一覧」を参照すること。,その他
25,本情報システムの全体構成調達仕様書図0-0「本情報システムの稼働環境概要」のとおりとする。,その他
26,開発方式スクラッチ開発、ソフトウェアパッケージ設計、開発支援ツールを含むの活用、政府共通プラットフォームを含むクラウドコンピューティングサービスの活用等、開発手法ウォータフォール型、反復型等等については、最適な開発方式及び開発手法を選択し、職業安定局と協議の上、決定すること。,その他
27,改修対象である機能群は、職業安定局の拠点に設置された端末で利用される。,機能適合性
28,拠点数、利用数は、下記のとおり想定している。,性能効率性
29,端末台数保守環境除く:内訳窓口、職員端末:共用端末:職員端末ノート:0台0台0台0台,性能効率性
30,性能要件については、調達仕様書別紙0「閲覧資料一覧」に示す情報の開発規模実績等を参照すること。,その他
31,可用性要件納品物において、本番環境で使用するものは、障害復旧に対する可用性を高めるよう考慮すること。,その他
32,ただし、設計工程において、システム機能が対象とする業務職員以外の利用者に対し提供するサービスを含むの特性によって緩和又は強化すべき等の情報が明らかとなった場合には、必要に応じて職業安定局と協議の上で見直しを行うこと。,その他
33,データのバックアップ取得を定期的に可能とすること。,その他
34,完全性要件データの滅失や改ざん等が発生した際の復旧を可能とすること。,信頼性
35,障害等が発生した際に、その原因を追究できるよう必要なログを出力可能とすること。,保守性
36,機密性要件データが第三者や権限のないユーザに参照されないよう、データベースのアクセス権限を正しく設定し、必要に応じて暗号化を実施すること。,セキュリティ
37,将来の制度の変更や対象業務の追加や対象業務の変化に対する拡張性を考慮し、必要に応じて機能、性能の拡張が可能であるように柔軟性を持った設計、開発方針を策定し、実施すること。,"保守性,移植性"
38,本サービス稼働までにブラウザがバージョンアップされる可能性があること等を考慮し、特定のブラウザやバージョンに可能な限り依存しない設計、開発方針を策定し、実施すること。,移植性
39,受託者は、クライアントosのバージョンアップに備え、osの特定バージョンに依存する機能が判明している場合は、その利用を最低限とすること。,その他
40,webブラウザ及び実行環境等のバージョンアップの際、必要な調査及び作業を実施することで、バージョンアップに対応可能な情報システムとすること。,移植性
41,受託者は、本調達の契約期間中にos及びミドルウェアのバージョンアップ情報が公開された場合に、必要な調査を実施し、その結果を職業安定局に報告すること。,その他
42,改修等の対応については、可能な限り影響範囲を局所化することとして、職業安定局と協議の上、その指示に従うこと。,その他
43,受託者は、バージョンアップについて、技術的な問題等がある場合は、職業安定局と協議の上、その指示に従うこと。,その他
44,本調達で採用する技術が特定の事業者のみが知りうる情報に基づいておらず、保守や将来の拡張を他の事業者に引き継ぐことが可能であること。,保守性
45,再設計及び開発改修に当たっては、特定の事業者に偏ることがないよう、標準的な設計技法、規約及びツールを用い、仕様が公開されている柔軟性の高い技術を用いること。,保守性
46,特定のベンダが保有するハードウェア、ソフトウェア及びライセンスを前提としないこと。,その他
47,受託者は、「ハローワークシステム運用管理規程」及び以下に示すガイドライン等に準拠した情報セキュリティ対策を講ずること。,その他
48,「厚生労働省情報セキュリティポリシー」及び「ハローワークシステム運用管理規程」については、契約締結後、受託者が職業安定局に守秘義務の誓約書を提出した際に開示する。,その他
49,開示前においては、「政府機関の情報セキュリティ対策のための統一基準」を参照すること。,その他
50,受託者は、0「情報セキュリティに関する事項」に示す情報セキュリティに係る各要件を踏まえて設定する情報セキュリティ対策の方針に従い本情報システム機器、配置等の検討を行うに当たって、あらかじめ想定されるリスクの概要と対策の種類、条件を提案時に示すこと。,その他
51,情報セキュリティ対策として、「政府機関の情報セキュリティ対策のための統一基準最新版」、「厚生労働省情報セキュリティポリシー」、「ハローワークシステム運用管理規程」及び「特定個人情報保護評価書職業安定行政業務に関する事務の基礎項目評価書及び全項目評価書」に示す対策のうち、本情報システムに必要となる範囲について対応を実施すること。,その他
52,「政府機関の情報セキュリティ対策のための統一基準最新版」、「厚生労働省情報セキュリティポリシー」、「ハローワークシステム運用管理規程」及び「特定個人情報保護評価書職業安定行政業務に関する事務の基礎項目評価書及び全項目評価書」に則り、加えて本調達に必要と思われる具体的な対応策について提案すること,その他
53,さらに、「「高度標的型攻撃」対策に向けたシステム設計ガイド0年0月独立行政法人情報処理推進機構セキュリティセンター」を参考とすること。,セキュリティ
54,本調達に係る本情報システムへのアクセスを業務上必要な者に限るための機能,セキュリティ
55,本調達に係る本情報システムに対する不正アクセス、ウイルス、不正プログラム感染等、インターネットを経由する攻撃、不正等への対策機能,セキュリティ
56,本調達に係る本情報システムにおける事故及び不正の原因を事後に追跡するための機能本情報システムに含まれる構成要素サーバ装置、端末等のうち、時刻設定が可能なものについては、本情報システムにおいて基準となる時刻に、当該構成要素の時刻を同期させ、ログに時刻情報も記録されるよう、設定すること。,セキュリティ
57,本調達に基づく改修が影響する範囲について、第三者による脆弱性検査を実施し、その結果を職業安定局に書面にて報告すること。,その他
58,構築する情報システムを構成する機器及びソフトウェアの中で、脆弱性対策を実施するものを適切に決定すること。,セキュリティ
59,脆弱性対策を行うとした機器及びソフトウェアについて、公表されている脆弱性情報及び公表される脆弱性情報を把握すること。,その他
60,把握した脆弱性情報について、対処の要否、可否を判断すること。,その他
61,対処したものに関して対処方法、対処しなかったものに関してその理由、代替措置及び影響を納品時に職業安定局に脆弱性検査の結果報告書にて報告すること。,その他
62,本調達に係る業務の遂行において情報セキュリティが侵害され又はそのおそれがある場合には、速やかに職業安定局に報告すること。,その他
63,本情報システムの構築等又は運用、保守、点検の際に導入する製品ソフトウェア及びハードウェアについては、本情報システムのライフサイクルシステム利用期間の終了までにおけるサポート部品、セキュリティパッチ、不具合への対応としてのパッチの提供等が継続される製品を導入すること。,その他
64,サポートライフサイクルポリシーが事前に公表されていない製品を導入する場合は、サポートが継続して行われるように後継製品への更新計画を提出すること。,その他
65,なお、更新計画に基づき後継製品に更新する場合の費用は本調達に含むものとする。,その他
66,受託者は、職業安定局が別途実施する第三者による情報セキュリティ監査に対応すること。,その他
67,本調達に係る業務の遂行において、受託者における情報セキュリティ対策の履行が不十分であると認められる場合には、受託者は、職業安定局の求めに応じ、職業安定局と協議の上、合意した対応を実施すること。,その他
